"meta_class","btid","color_hex","building_type","urban_mixed_use","urban_residential","urban_commercial","city_mixed_use","city_residential","city_commercial","town_mixed_use","town_residential","town_commercial","village_mixed_use","village_residential","village_commercial","neighborhood_residential","neighborhood_low","office_focus","mixed_office_and_r_and_d","office_industrial","industrial_focus","low_density_employment_park","high_intensity_activity_center","mid_intensity_activity_center","low_intensity_retail_centered_neighborhood","retail_strip_mall_big_box","industrial_office_res_mixed_high","industrial_office_res_mixed_low","suburban_multifamily","suburban_mixed_residential","residential_subdivision","large_lot_residential_area","rural_residential","rural_ranchettes","rural_employment","campus_or_university","institutional","parks_and_open_space"
"Mixed Use",1,"#940000","Skyscraper Mixed Use",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mixed Use",2,"#940000","High-Rise Mixed Use",0.1259119205,0,0.0108729536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mixed Use",3,"#C20000","Mid-Rise Mixed Use",0.1007295364,0,0.0108729536,0.0765,0.0102,0.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mixed Use",4,"#E61414","Low-Rise Mixed Use",0.0604377218,0,0.0163094305,0.0714,0,0.0055,0.048,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mixed Use",5,"#FF6699","Parking Structure/Mixed Use",0,0,0,0.0255,0,0.0055,0.024,0,0.0165,0,0,0,0,0,0,0,0,0,0,0.0346284967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mixed Use",6,"#FF5252","Main Street Commercial/MU High (3-5 Floors)",0.0251823841,0.0251823841,0.0271823841,0.051,0.0153,0.0385,0.0624,0,0.0275,0.0245099904,0,0,0,0,0,0,0,0,0,0.2770279732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mixed Use",7,"#FF5252","Main Street Commercial/MU Low (1-2 Floors)",0,0,0,0,0,0,0.048,0.0705387053,0.055,0.0735299713,0,0.0550199809,0.0115598247,0,0,0,0,0,0,0,0.0346284967,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Residential",8,"#CC5500","Skyscraper Residential",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Residential",9,"#CC5500","High-Rise Residential",0.0755471523,0.2266414569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Residential",10,"#E66A05","Urban Mid-Rise Residential",0.0251823841,0.1762766887,0,0.0765,0.2244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1625692706,0,0,0,0,0,0,0,0,0.1208381754,0,0
