id,source,hyperlink,building_type,building,vacancy_rate,household_size,all_uses,du_density,emp_density,Pct_SF_Large_Lot,Pct_SF_Small_Lot,Pct_Attached_SF,Pct_MF_2_to_4,Pct_MF_5_Plus,Pct_Emp_Office_Svc,Pct_Educ_Svc,Pct_Medical_Svc,Pct_Public_Admin,Pct_Retail_Svc,Pct_Restaurant,Pct_Accommodation,Pct_Arts_Entertainment,Pct_Other_Svc,Pct_Manufacturing,Pct_Transport_warehouse,Pct_Wholesale,Pct_Construction_Util,Pct_Agriculture,Pct_Extraction,percent_of_building_type,floors,total_far,parking_spaces,parking_structure_square_feet,residential_efficiency,residential_lot_square_feet,square_feet_per_du,retail_efficiency,retail_square_feet_per_employee,office_efficiency,office_square_feet_per_employee,industrial_efficiency,industrial_square_feet_per_employee,misc_percent_of_retail_use,retail_percent_of_retail_use,restaurant_percent_of_retail_use,grocery_percent_of_retail_use,hardscape_percent,irrigated_percent,impervious_roof_percent,impervious_hardscape_percent,pervious_hardscape_percent,softscape_landscape_percent,id
16,0,#VALUE!,SACOG Residential/Retail Mixed Use High,Low-Rise Mixed (SCAG Dist. Center MU),0.0635,2.245,"Multi-family 5+, Retail Services, ",52.272,38.974737,0,0,0,0,0.75,0,0,0,0,0.1025,0.0175,0,0.0091,0.1209,0,0,0,0,0,0,0.25,8,2,70.785,23359.05,0.85,0,1063,0.85,475,0.85,300,0.85,1000,0.52,0.34,0.07,0.07,0.25,0.35,0,0,0,0,416
17,0,0,SACOG Residential/Retail Mixed Use High,"Mid-Rise Mixed (Museum Place, Portland OR)",0.0635,1.845,"Multi-family 5+, Retail Services, ",153.235878,98.604,0,0,0,0,0.7,0,0,0,0,0.123,0.021,0,0.1482,0.0078,0,0,0,0,0,0,0.05,8,5,239.1,78903,0.79,0,786,0.83,550,0.85,300,0.85,1000,0.52,0.34,0.07,0.07,0.9,0.35,0.9,0,0,0,417
23,HM,0,SACOG Residential/Retail Mixed Use High,"Mid-Rise Mixed (1885 University/New Californian, Berkeley)",0.0635,2.245,"Multi-family 5+, Retail Services, ",149.824906,21.5424,0,0,0,0,0.9,0,0,0,0,0.041,0.007,0,0.0208,0.0312,0,0,0,0,0,0,0.05,5,3.2,154,50820,0.85,0,712,0.85,550,0.85,300,0.85,1000,0.52,0.34,0.07,0.07,0.9,0.35,0.9,0,0,0,423
25,0,0,SACOG Residential/Retail Mixed Use High,Main Street Commercial/MU (SACOG 43. Natomas MU),0.0635,2.105,"Multi-family 5+, Office Services, ",11.5434,13.131702,0,0,0,0,0.7,0.05,0,0,0,0.1025,0.0175,0,0.0091,0.1209,0,0,0,0,0,0,0.24,3,0.53,17.430534,5752.07622,0.85,0,1190,0.85,475,0.85,350,0.85,1000,0.52,0.34,0.07,0.07,0.18,0.2,0,0,0,0,425
26,0,0,SACOG Residential/Retail Mixed Use High,Low-Rise Mixed (Cap Metro City Center MU),0.0635,2.245,"Multi-family 5+, Office Services, ",47.52,194.873684,0,0,0,0,0.4,0.4,0,0,0,0.082,0.014,0,0.00728,0.09672,0,0,0,0,0,0,0.11,4,3,114.1668,37675.044,0.85,0,935,0.85,475,0.85,300,0.85,1000,0.52,0.34,0.07,0.07,0.75,0.35,0,0,0,0,426
27,0,0,SACOG Residential/Retail Mixed Use High,"Low-Rise Mixed (Stone Way Apts, Seattle)",0.0635,1.57,"Multi-family 5+, Retail Services, ",97.886484,18.37347,0,0,0,0,0.903,0,0,0,0,0.03977,0.00679,0,0.003531,0.046909,0,0,0,0,0,0,0.05,4,2.43,154.93,51126.9,0.85,0,830,0.85,475,0.85,300,0.85,1000,0.52,0.34,0.07,0.07,0.8,0.35,0.8,0,0,0,427
28,0,0,SACOG Residential/Retail Mixed Use High,"Low-Rise Mixed (200 Second Street, Oakland)",0.0635,1.845,"Multi-family 5+, Retail Services, ",161.027036,31.277226,0,0,0,0,0.893,0,0,0,0,0.04387,0.00749,0,0.003895,0.051745,0,0,0,0,0,0,0.05,6,3.75,178,58740,0.85,0,770,0.85,475,0.85,300,0.85,1000,0.52,0.34,0.07,0.07,0.98,0.35,0.98,0,0,0,428
30,0,0,SACOG Residential/Retail Mixed Use High,"Low-Rise Mixed (Kinsey Flats, Cincinnati, OH)",0.0635,1.585,"Multi-family 5+, Retail Services, ",30.147395,22.805943,0,0,0,0,0.761,0,0,0,0,0.097678,0.016677,0,0.008672,0.115212,0,0,0,0,0,0,0.2,4,1.1646,131.765758,43482.7,0.86,0,1100,0.85,450,0.85,300,0.85,1000,0.52,0.34,0.07,0.07,0.95,0.35,0.95,0,0,0,430
35,0,0,SACOG Residential/Retail Mixed Use Low,Main Street Commercial/MU (SACOG 19. MU Res Focus),0.0635,2.105,"Multi-family 5+, Office Services, ",46.0768,32.371303,0,0,0,0,0.7,0.05,0,0,0,0.1025,0.0175,0,0.026,0.104,0,0,0,0,0,0,0.05,3,1.36,61.183408,20190.52464,0.85,0,765,0.85,500,0.85,350,0.85,1000,0.52,0.34,0.07,0.07,0.45,0.5,0,0,0,0,635
36,0,0,SACOG Residential/Retail Mixed Use Low,Main Street Commercial/MU (SACOG 18. MU Emp Focus),0.0635,2.105,"Multi-family 5+, Office Services, ",23.5224,50.811921,0,0,0,0,0.45,0.15,0,0,0,0.164,0.028,0,0.0416,0.1664,0,0,0,0,0,0,0.14,3,1.08,45.515844,15020.22852,0.85,0,765,0.85,475,0.85,350,0.85,1000,0.52,0.34,0.07,0.07,0.36,0.5,0,0,0,0,636
