"id","source","hyperlink","building_type","building","vacancy_rate","household_size","all_uses","du_density","emp_density","Pct_SF_Large_Lot","Pct_SF_Small_Lot","Pct_Attached_SF","Pct_MF_2_to_4","Pct_MF_5_Plus","Pct_Emp_Office_Svc","Pct_Educ_Svc","Pct_Medical_Svc","Pct_Public_Admin","Pct_Retail_Svc","Pct_Restaurant","Pct_Accommodation","Pct_Arts_Entertainment","Pct_Other_Svc","Pct_Manufacturing","Pct_Transport_warehouse","Pct_Wholesale","Pct_Construction_Util","Pct_Agriculture","Pct_Extraction","percent_of_building_type","floors","total_far","parking_spaces","parking_structure_square_feet","residential_efficiency","residential_lot_square_feet","square_feet_per_du","retail_efficiency","retail_square_feet_per_employee","office_efficiency","office_square_feet_per_employee","industrial_efficiency","industrial_square_feet_per_employee","misc_percent_of_retail_use","retail_percent_of_retail_use","restaurant_percent_of_retail_use","grocery_percent_of_retail_use","hardscape_percent","irrigated_percent","impervious_roof_percent","impervious_hardscape_percent","pervious_hardscape_percent","softscape_landscape_percent","id"
1,0,0,"Skyscraper Mixed Use","181 Fremont Street",0.0635,1.605,0,330.5447432,5100.405552,0,0,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,66,51.4,677,223410,0.85,43560,1900,0.85,475,0.85,250,0.85,1000,0.52,0.34,0.07,0.07,0.99,0.7,0.99,0,0,0,11
2,0,0,"Skyscraper Mixed Use","Encinal Tower (Oakland, CA)",0.0635,1.915,0,112.0933382,1044.968373,0,0,0,0,0.45,0.5,0,0,0,0.0205,0.0035,0,0.00182,0.02418,0,0,0,0,0,0,0.3,56,18.4,543,179190,0.85,175,2735,0.85,475,0.85,350,0.85,1000,0.52,0.34,0.07,0.07,0.99,0.7,0.99,0,0,0,12
3,0,"http://casestudies.uli.org/Profile.aspx?j=8218&p=5&c=4, http://www.som.com/content.cfm/john_hancock_center, http://www.johnhancockcenterchicago.com/Index3.htm","Skyscraper Mixed Use","Skyscraper Mixed (John Hancock Center, Chicago)",0.0635,1.815,0,305.3220923,1457.774208,0,0,0,0,0.6,0.34,0,0,0,0.0246,0.0042,0,0.002184,0.029016,0,0,0,0,0,0,0.4,100,26.8,295,97350,0.85,86,1950,0.85,550,0.85,250,0.85,1000,0.52,0.34,0.07,0.07,0.99,0.5,0.99,0,0,0,13
6,0,0,"High-Rise Mixed Use","High-Rise Residential (Visionaire, New York)",0.0635,2.065,0,376.7895093,168.432,0,0,0,0,0.92,0.07,0,0,0,0.0041,0.0007,0,0.000364,0.004836,0,0,0,0,0,0,0.05,35,15.2,135.5,44715,0.72,0,1164,1,475,1,300,0.85,1000,0.52,0.34,0.07,0.07,1,0.5,1,0,0,0,26
9,0,0,"High-Rise Mixed Use","High-Rise Mixed (201 Folsom, San Francisco)",0.0635,2.065,0,417.2771891,25.7108544,0,0,0,0,0.972,0,0,0,0,0.01148,0.00196,0,0.00728,0.00728,0,0,0,0,0,0,0.17,40,11.78,417.63,137817.9,0.85,0,1016,0.85,475,0.85,250,0.85,1000,0.52,0.34,0.07,0.07,0.6,0.2,0.6,0,0,0,29
10,0,0,"High-Rise Mixed Use","High-Rise Mixed (Atwater Place, Portland",0.0635,1.605,0,232.7290428,19.16933457,0,0,0,0,0.971,0,0,0,0,0.01189,0.00203,0,0.0010556,0.0140244,0,0,0,0,0,0,0.28,23,8.48,294.03,97029.9,0.85,0,1310,0.85,475,0.85,250,0.85,1000,0.52,0.34,0.07,0.07,0.95,0.5,0.95,0,0,0,210
11,"GGLO",0,"High-Rise Mixed Use","High-Rise Mixed (601 4th Ave, Seattle)",0.0635,1.935,0,162.219618,2256.056384,0,0,0,0,0.222,0.739,0,0,0,0.01599,0.00273,0,0.0014196,0.0188604,0,0,0,0,0,0,0.5,39,20.13,0,0,0.85,0,1020,0.85,550,0.85,250,0.85,1000,0.52,0.34,0.07,0.07,0.95,0.5,0.95,0,0,0,211
13,0,0,"Mid-Rise Mixed Use","Mid-Rise Mixed (937 Glisan, Portland)",0.0635,1.835,0,248.1524568,43.78577836,0,0,0,0,0.938,0,0,0,0,0.02542,0.00434,0,0.025792,0.006448,0,0,0,0,0,0,0.2,16,9.06,248.29,81935.7,0.85,0,1268,0.85,475,0.85,300,0.85,1000,0.52,0.34,0.07,0.07,0.99,0.5,0.99,0,0,0,313
14,0,0,"Mid-Rise Mixed Use","Mid-Rise Mixed (The Edge, Portland)",0.0635,1.835,0,135.646434,327.613902,0,0,0,0,0.57,0.31,0,0,0,0.0492,0.0084,0,0.05616,0.00624,0,0,0,0,0,0,0.4,11,7.07,223.25,73672.5,0.85,0,1100,0.85,550,0.85,300,0.85,1000,0.52,0.34,0.07,0.07,1,0.5,1,0,0,0,314
15,0,0,"Mid-Rise Mixed Use","Mid-Rise Mixed (The Gregory Lofts, Portland)",0.0635,1.835,0,158.4860904,124.3535749,0,0,0,0,0.841,0.098,0,0,0,0.02501,0.00427,0,0.030134,0.001586,0,0,0,0,0,0,0.4,12,7.38,223.24,73669.2,0.85,0,1450,0.85,475,0.85,300,0.85,1000,0.52,0.34,0.07,0.07,0.95,0.5,0.95,0,0,0,315
17,0,0,"Low-Rise Mixed Use","Mid-Rise Mixed (Museum Place, Portland OR)",0.0635,1.845,0,153.2358779,98.604,0,0,0,0,0.7,0,0,0,0,0.123,0.021,0,0.1482,0.0078,0,0,0,0,0,0,0.36,8,5,239.1,78903,0.79,0,786,0.83,550,0.85,300,0.85,1000,0.52,0.34,0.07,0.07,0.9,0.35,0.9,0,0,0,417
