id,source,hyperlink,building_type,building,vacancy_rate,household_size,all_uses,du_density,emp_density,Pct_SF_Large_Lot,Pct_SF_Small_Lot,Pct_Attached_SF,Pct_MF_2_to_4,Pct_MF_5_Plus,Pct_Emp_Office_Svc,Pct_Educ_Svc,Pct_Medical_Svc,Pct_Public_Admin,Pct_Retail_Svc,Pct_Restaurant,Pct_Accommodation,Pct_Arts_Entertainment,Pct_Other_Svc,Pct_Manufacturing,Pct_Transport_warehouse,Pct_Wholesale,Pct_Construction_Util,Pct_Agriculture,Pct_Extraction,percent_of_building_type,floors,total_far,parking_spaces,parking_structure_square_feet,residential_efficiency,residential_lot_square_feet,square_feet_per_du,retail_efficiency,retail_square_feet_per_employee,office_efficiency,office_square_feet_per_employee,industrial_efficiency,industrial_square_feet_per_employee,misc_percent_of_retail_use,retail_percent_of_retail_use,restaurant_percent_of_retail_use,grocery_percent_of_retail_use,hardscape_percent,irrigated_percent,impervious_roof_percent,impervious_hardscape_percent,pervious_hardscape_percent,softscape_landscape_percent,id
35,SACOG 2016 MTPSCS,,Agricultural Processing/Retail Employment,Agricultural Processing/Retail Employment,0,0,,0,0,0,0,0,0,0,0.1,0,0,0,0.05,0,0,0,0,0.5,0.35,0,0,0,0,1,1,0.056,12,0,0,0,0,0.85,650,0.85,420,0.85,1300,0,0,0,0,0,0,0,0,0,0,60035
43,SACOG 2016 MTPSCS,,Agriculture (SACOG),Agriculture (SACOG),0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.01,0,0,0,0,0,0,0,0,0,1,1200,0,0,0,0,0,0,0,0,0,0,60043
36,SACOG 2016 MTPSCS,,Airport (SACOG),Airport (SACOG),0,0,,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0.1,0,0,0,0.2,0.55,0,0,0,0,1,1,0.06,15,0,0,0,0,0.85,650,0.85,450,0.85,1550,0,0,0,0,0,0,0,0,0,0,60036
44,SACOG 2016 MTPSCS,,Blank Place Type,Blank Place Type,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60044
23,SACOG 2016 MTPSCS,,CBD Office,CBD Office,0,0,,0,0,0,0,0,0,0,0.77,0,0,0.18,0.02,0.02,0,0,0.01,0,0,0,0,0,0,1,20,6,200,0,0,0,0,0.85,550,0.85,305.5,0,0,0,0,0,0,0,0,0,0,0,0,60023
30,SACOG 2016 MTPSCS,,Civic/Institution (SACOG),Civic/Institution (SACOG),0,0,,0,0,0,0,0,0,0,0.95,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,1,4,0.32,40,0,0,0,0,0,0,0.85,592.29,0,0,0,0,0,0,0,0,0,0,0,0,60030
29,SACOG 2016 MTPSCS,,College/University (SACOG),College/University (SACOG),0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.5,325,0,0,0,0,0,0,0.85,555.37,0,0,0,0,0,0,0,0,0,0,0,0,60029
16,SACOG 2016 MTPSCS,,Community/Neighborhood Commercial,Community/Neighborhood Commercial,0,0,,0,0,0,0,0,0,0,0.25,0,0,0,0.55,0.1,0,0.05,0.05,0,0,0,0,0,0,1,2,0.4,64,0,0,0,0,0.85,617,0.85,370,0,0,0,0,0,0,0,0,0,0,0,0,60016
17,SACOG 2016 MTPSCS,,Community/Neighborhood Commercial/Office,Community/Neighborhood Commercial/Office,0,0,,0,0,0,0,0,0,0,0.5,0,0,0,0.4,0.1,0,0,0,0,0,0,0,0,0,1,2,0.45,50,0,0,0,0,0.85,650,0.85,344.45,0,0,0,0,0,0,0,0,0,0,0,0,60017
15,SACOG 2016 MTPSCS,,Community/Neighborhood Retail,Community/Neighborhood Retail,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.7,0.18,0,0.02,0.1,0,0,0,0,0,0,1,2,0.3,67,0,0,0,0,0.85,462.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60015
